epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,5938.52,1.45727,0.74929,0.96895,0.79687,0.79131,0.81125,0.45437,1.63364,0.91686,0.94132,0.0007328,0.0007328,0.0007328
66,6028.29,1.41902,0.73274,1.00391,0.82637,0.75897,0.80977,0.4595,1.62119,0.8672,0.92994,0.000713,0.000713,0.000713
67,6117.27,1.48022,0.77474,0.95964,0.84624,0.75897,0.82419,0.46329,1.62542,0.84872,0.93869,0.0006932,0.0006932,0.0006932
68,6209.82,1.47358,0.73007,0.97457,0.78979,0.78997,0.80346,0.45077,1.63167,0.85955,0.9662,0.0006734,0.0006734,0.0006734
69,6299.06,1.41763,0.72575,0.98095,0.81136,0.79829,0.81857,0.46309,1.57485,0.82531,0.91413,0.0006536,0.0006536,0.0006536
70,6387.11,1.43455,0.71026,0.97759,0.81787,0.79829,0.82711,0.46376,1.59956,0.86399,0.9165,0.0006338,0.0006338,0.0006338
71,6482.19,1.40301,0.70887,0.97649,0.83217,0.78632,0.82795,0.46823,1.60379,0.84739,0.93892,0.000614,0.000614,0.000614
72,6575.11,1.40597,0.68439,0.93868,0.82078,0.78462,0.81648,0.46124,1.61914,0.84646,0.9235,0.0005942,0.0005942,0.0005942
73,6665.22,1.47102,0.71741,0.929,0.81251,0.79263,0.82684,0.47222,1.57687,0.82049,0.91743,0.0005744,0.0005744,0.0005744
74,6758.52,1.42809,0.69205,0.95228,0.83415,0.79097,0.82856,0.47553,1.58235,0.82672,0.91321,0.0005546,0.0005546,0.0005546
75,6853.09,1.36359,0.69334,0.96282,0.84384,0.78462,0.82696,0.4687,1.59046,0.82298,0.91755,0.0005348,0.0005348,0.0005348
76,6943.64,1.34383,0.6527,0.96047,0.82574,0.79658,0.82149,0.46827,1.56411,0.81229,0.90327,0.000515,0.000515,0.000515
77,7034.06,1.38061,0.65858,0.94498,0.81674,0.80342,0.82512,0.47178,1.5664,0.82199,0.89324,0.0004952,0.0004952,0.0004952
78,7126.06,1.36774,0.68382,0.93104,0.825,0.7978,0.82708,0.47328,1.57085,0.79669,0.89486,0.0004754,0.0004754,0.0004754
79,7214.88,1.41988,0.67636,0.93422,0.79461,0.81342,0.82514,0.46994,1.59132,0.8087,0.90677,0.0004556,0.0004556,0.0004556
80,7305.04,1.34648,0.65577,0.95567,0.80063,0.80314,0.81559,0.47225,1.57658,0.80678,0.90181,0.0004358,0.0004358,0.0004358
81,7394.14,1.3686,0.64731,0.94748,0.81009,0.81538,0.8298,0.47682,1.55537,0.80445,0.90408,0.000416,0.000416,0.000416
82,7488.33,1.3882,0.6623,0.93243,0.80692,0.81368,0.83136,0.47185,1.58156,0.79386,0.88149,0.0003962,0.0003962,0.0003962
83,7578.1,1.32554,0.62614,0.9323,0.81819,0.81368,0.83155,0.47375,1.58437,0.79629,0.90021,0.0003764,0.0003764,0.0003764
84,7669.41,1.35864,0.65483,0.94495,0.83,0.80122,0.82646,0.47262,1.5837,0.81791,0.90582,0.0003566,0.0003566,0.0003566
85,7760.41,1.30386,0.63184,0.94139,0.82751,0.79658,0.82763,0.47347,1.58445,0.80059,0.90662,0.0003368,0.0003368,0.0003368
86,7849.39,1.30736,0.62073,0.94371,0.82189,0.8046,0.82881,0.4727,1.56335,0.80241,0.90699,0.000317,0.000317,0.000317
87,7938.5,1.30831,0.62673,0.93582,0.81542,0.80342,0.83182,0.47993,1.5611,0.81085,0.90336,0.0002972,0.0002972,0.0002972
88,8032.38,1.38302,0.63059,0.90894,0.82227,0.79877,0.82031,0.47239,1.58006,0.80966,0.9141,0.0002774,0.0002774,0.0002774
89,8121.29,1.31386,0.63612,0.93236,0.82251,0.8,0.82495,0.47191,1.55722,0.80926,0.91994,0.0002576,0.0002576,0.0002576
90,8210.01,1.29331,0.61708,0.92726,0.8185,0.80342,0.83036,0.47907,1.56428,0.79355,0.93563,0.0002378,0.0002378,0.0002378
91,8300.48,1.41308,0.6367,0.88423,0.83977,0.79658,0.82501,0.47146,1.58055,0.78775,0.9254,0.000218,0.000218,0.000218
92,8390.11,1.40911,0.62846,0.89138,0.82917,0.78632,0.82374,0.47108,1.58139,0.80085,0.92541,0.0001982,0.0001982,0.0001982
93,8480.59,1.35769,0.60251,0.86227,0.83032,0.8,0.83296,0.4733,1.58539,0.80328,0.91978,0.0001784,0.0001784,0.0001784
94,8569.72,1.3482,0.59984,0.87544,0.83636,0.8,0.82757,0.47357,1.57625,0.79112,0.91566,0.0001586,0.0001586,0.0001586
95,8660.24,1.32241,0.59688,0.8626,0.84257,0.8,0.83185,0.47109,1.56289,0.799,0.92628,0.0001388,0.0001388,0.0001388
96,8748.89,1.30311,0.58915,0.8916,0.82198,0.79717,0.82353,0.47318,1.57627,0.80943,0.92323,0.000119,0.000119,0.000119
97,8838.93,1.32634,0.58105,0.86267,0.82554,0.81197,0.83045,0.47789,1.56728,0.80814,0.91885,9.92e-05,9.92e-05,9.92e-05
98,8928.38,1.26483,0.57763,0.86859,0.82935,0.80171,0.83097,0.47567,1.57092,0.80268,0.91734,7.94e-05,7.94e-05,7.94e-05
99,9018.18,1.3136,0.57828,0.85638,0.83658,0.79487,0.82935,0.47499,1.5679,0.79301,0.9104,5.96e-05,5.96e-05,5.96e-05
100,9107.23,1.30311,0.58324,0.85771,0.83659,0.79829,0.83051,0.47509,1.56401,0.79582,0.91484,3.98e-05,3.98e-05,3.98e-05
